"filename", "language", "TypeScript", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\form-elements\inputs\file-uploader\file-uploader.component.scss", "SCSS", 0, 22, 0, 0, 1, 23
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\form-elements\inputs\file-uploader\file-uploader.component.ts", "TypeScript", 19, 0, 0, 0, 5, 24
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\form-elements\inputs\image-uploader\image-uploader.component.html", "HTML", 0, 0, 10, 0, 4, 14
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\form-elements\inputs\image-uploader\image-uploader.component.scss", "SCSS", 0, 24, 0, 0, 2, 26
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\form-elements\inputs\image-uploader\image-uploader.component.ts", "TypeScript", 23, 0, 0, 0, 6, 29
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\form-elements\inputs\inputs.component.html", "HTML", 0, 0, 600, 0, 72, 672
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\form-elements\inputs\inputs.component.ts", "TypeScript", 65, 0, 0, 0, 6, 71
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\form-elements\inputs\multiple-image-uploader\multiple-image-uploader.component.html", "HTML", 0, 0, 12, 0, 2, 14
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\form-elements\inputs\multiple-image-uploader\multiple-image-uploader.component.scss", "SCSS", 0, 41, 0, 0, 2, 43
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\form-elements\inputs\multiple-image-uploader\multiple-image-uploader.component.ts", "TypeScript", 35, 0, 0, 0, 9, 44
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\form-elements\layouts\layouts.component.html", "HTML", 0, 0, 197, 0, 20, 217
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\form-elements\layouts\layouts.component.ts", "TypeScript", 7, 0, 0, 0, 2, 9
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\form-elements\validations\validations.component.html", "HTML", 0, 0, 86, 0, 13, 99
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\form-elements\validations\validations.component.ts", "TypeScript", 49, 0, 0, 0, 9, 58
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\form-elements\validations\validations.interface.ts", "TypeScript", 9, 0, 0, 0, 0, 9
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\form-elements\wizard\wizard-validation.service.ts", "TypeScript", 28, 0, 0, 0, 6, 34
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\form-elements\wizard\wizard.component.html", "HTML", 0, 0, 247, 0, 25, 272
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\form-elements\wizard\wizard.component.scss", "SCSS", 0, 117, 0, 0, 7, 124
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\form-elements\wizard\wizard.component.ts", "TypeScript", 123, 0, 0, 0, 16, 139
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\login\login.component.html", "HTML", 0, 0, 30, 0, 3, 33
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\login\login.component.scss", "SCSS", 0, 80, 0, 0, 6, 86
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\login\login.component.ts", "TypeScript", 50, 0, 0, 5, 10, 65
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\login\login.module.ts", "TypeScript", 18, 0, 0, 0, 4, 22
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\mail\mail-compose\mail-compose.component.html", "HTML", 0, 0, 20, 0, 4, 24
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\mail\mail-compose\mail-compose.component.ts", "TypeScript", 7, 0, 0, 0, 2, 9
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\mail\mail-detail\mail-detail.component.html", "HTML", 0, 0, 56, 0, 5, 61
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\mail\mail-detail\mail-detail.component.ts", "TypeScript", 38, 0, 0, 0, 7, 45
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\mail\mail-list\mail-list.component.html", "HTML", 0, 0, 30, 0, 0, 30
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\mail\mail-list\mail-list.component.ts", "TypeScript", 121, 0, 0, 0, 19, 140
"c:\Users\gamer\Desktop\website\jhess0509.github.io\src\app\pages\mail\mail.component.html", "HTML", 0, 0, 108, 0, 9, 117
